web-scraper-order,web-scraper-start-url,cited_links,cited_links-href,cited_paper_doi,cited_paper_doi-href
"1571861392-12078","https://doi.org/10.1109/TSC.2011.30","View Article","https://ieeexplore.ieee.org/document/7571091","10.1109/MCC.2016.89","https://doi.org/10.1109/MCC.2016.89"
"1571853646-10968","https://doi.org/10.1109/TSC.2010.30","View Article","https://ieeexplore.ieee.org/document/6211993","10.1109/NOMS.2012.6211993","https://doi.org/10.1109/NOMS.2012.6211993"
"1571806271-3957","https://doi.org/10.1109/TSC.2010.51","View Article","https://ieeexplore.ieee.org/document/7321167","10.1109/EDOC.2015.30","https://doi.org/10.1109/EDOC.2015.30"
"1571888973-14396","https://doi.org/10.1109/SCC.2013.112","View Article","https://ieeexplore.ieee.org/document/6930510","10.1109/SCC.2014.10","https://doi.org/10.1109/SCC.2014.10"
"1571831866-8187","https://doi.org/10.1109/TSC.2011.2","View Article","https://ieeexplore.ieee.org/document/6488672","10.1109/MIC.2013.20","https://doi.org/10.1109/MIC.2013.20"
"1571847629-10335","https://doi.org/10.1109/TSC.2015.2456888","View Article","https://ieeexplore.ieee.org/document/8382149","10.1109/COMST.2018.2846284","https://doi.org/10.1109/COMST.2018.2846284"
"1571828538-7596","https://doi.org/10.1109/TSC.2011.20","View Article","https://ieeexplore.ieee.org/document/8466267","10.1109/INISTA.2018.8466267","https://doi.org/10.1109/INISTA.2018.8466267"
"1571891306-14592","https://doi.org/10.1109/SCC.2008.85","View Article","https://ieeexplore.ieee.org/document/5552781","10.1109/ICWS.2010.16","https://doi.org/10.1109/ICWS.2010.16"
"1571827391-7390","https://doi.org/10.1109/TSC.2014.1","View Article","https://ieeexplore.ieee.org/document/7832258","10.1109/ICMTMA.2017.0095","https://doi.org/10.1109/ICMTMA.2017.0095"
"1571797211-1495","https://doi.org/10.1109/TSC.2014.2365797","View Article","https://ieeexplore.ieee.org/document/7763201","10.1109/WiMOB.2016.7763201","https://doi.org/10.1109/WiMOB.2016.7763201"
"1571880288-13699","https://doi.org/10.1109/SCC.2014.18","View Article","https://ieeexplore.ieee.org/document/7600172","10.1109/ICCCRI.2016.12","https://doi.org/10.1109/ICCCRI.2016.12"
"1571868671-12732","https://doi.org/10.1109/SCC.2005.54","View Article","https://ieeexplore.ieee.org/document/1615046","10.1109/ASWEC.2006.7","https://doi.org/10.1109/ASWEC.2006.7"
"1571841678-9752","https://doi.org/10.1109/TSC.2010.56","View Article","https://ieeexplore.ieee.org/document/7518948","10.1109/ICICES.2016.7518948","https://doi.org/10.1109/ICICES.2016.7518948"
"1571838104-9271","https://doi.org/10.1109/TSC.2010.14","View Article","https://ieeexplore.ieee.org/document/6928874","10.1109/ICWS.2014.14","https://doi.org/10.1109/ICWS.2014.14"
"1571835803-8897","https://doi.org/10.1109/TSC.2011.13","View Article","https://ieeexplore.ieee.org/document/6997059","10.1109/ES.2014.51","https://doi.org/10.1109/ES.2014.51"
"1571891571-14616","https://doi.org/10.1109/SCC.2013.69","View Article","https://ieeexplore.ieee.org/document/6928909","10.1109/ICWS.2014.49","https://doi.org/10.1109/ICWS.2014.49"
"1571812658-4648","https://doi.org/10.1109/TSC.2014.2381496","View Article","https://ieeexplore.ieee.org/document/7529010","10.1109/MIC.2016.74","https://doi.org/10.1109/MIC.2016.74"
"1571866564-12563","https://doi.org/10.1109/SCC.2009.80","View Article","https://ieeexplore.ieee.org/document/6269298","null",""
"1571829918-7828","https://doi.org/10.1109/TSC.2013.5","View Article","https://ieeexplore.ieee.org/document/8016558","10.1109/ACCESS.2017.2744677","https://doi.org/10.1109/ACCESS.2017.2744677"
"1571813316-4804","https://doi.org/10.1109/TSC.2011.52","View Article","https://ieeexplore.ieee.org/document/6557698","10.1109/CEC.2013.6557698","https://doi.org/10.1109/CEC.2013.6557698"
"1571856888-11627","https://doi.org/10.1109/TSC.2008.2","View Article","https://ieeexplore.ieee.org/document/5420178","10.1109/JCPC.2009.5420178","https://doi.org/10.1109/JCPC.2009.5420178"
"1571868717-12737","https://doi.org/10.1109/SCC.2005.54","View Article","https://ieeexplore.ieee.org/document/4530336","10.1109/ICTTA.2008.4530336","https://doi.org/10.1109/ICTTA.2008.4530336"
"1571817016-5556","https://doi.org/10.1109/TSC.2013.2295611","View Article","https://ieeexplore.ieee.org/document/7567341","10.1109/ICCTAC.2016.7567341","https://doi.org/10.1109/ICCTAC.2016.7567341"
"1571808002-4236","https://doi.org/10.1109/TSC.2009.3","View Article","https://ieeexplore.ieee.org/document/6413712","10.1109/ICPADS.2012.20","https://doi.org/10.1109/ICPADS.2012.20"
"1571828765-7637","https://doi.org/10.1109/TSC.2014.2304729","View Article","https://ieeexplore.ieee.org/document/8029809","10.1109/ICWS.2017.67","https://doi.org/10.1109/ICWS.2017.67"
"1571852348-10817","https://doi.org/10.1109/TSC.2015.2512589","View Article","https://ieeexplore.ieee.org/document/8395067","10.1109/TII.2018.2849984","https://doi.org/10.1109/TII.2018.2849984"
"1571837479-9167","https://doi.org/10.1109/TSC.2016.2584058","View Article","https://ieeexplore.ieee.org/document/8029758","10.1109/ICWS.2017.29","https://doi.org/10.1109/ICWS.2017.29"
"1571803417-3253","https://doi.org/10.1109/TSC.2016.2519898","View Article","https://ieeexplore.ieee.org/document/8029283","10.1109/IEEE.EDGE.2017.42","https://doi.org/10.1109/IEEE.EDGE.2017.42"
"1571889668-14442","https://doi.org/10.1109/SCC.2006.103","View Article","https://ieeexplore.ieee.org/document/5558229","10.1109/NGMAST.2010.30","https://doi.org/10.1109/NGMAST.2010.30"
"1571826220-7179","https://doi.org/10.1109/TSC.2009.20","View Article","https://ieeexplore.ieee.org/document/5558013","10.1109/CLOUD.2010.10","https://doi.org/10.1109/CLOUD.2010.10"
"1571839781-9583","https://doi.org/10.1109/TSC.2015.2491280","View Article","https://ieeexplore.ieee.org/document/7571188","10.1109/COMST.2016.2610963","https://doi.org/10.1109/COMST.2016.2610963"
"1571793115-486","https://doi.org/10.1109/TSC.2010.44","View Article","https://ieeexplore.ieee.org/document/7195625","10.1109/ICWS.2015.90","https://doi.org/10.1109/ICWS.2015.90"
"1571795977-1195","https://doi.org/10.1109/TSC.2016.2611578","View Article","https://ieeexplore.ieee.org/document/7980123","10.1109/ICDCS.2017.237","https://doi.org/10.1109/ICDCS.2017.237"
"1571845162-10077","https://doi.org/10.1109/TSC.2008.17","View Article","https://ieeexplore.ieee.org/document/5175813","10.1109/ICWS.2009.38","https://doi.org/10.1109/ICWS.2009.38"
"1571826698-7269","https://doi.org/10.1109/TSC.2016.2542813","View Article","https://ieeexplore.ieee.org/document/8066356","10.1109/TSC.2017.2762296","https://doi.org/10.1109/TSC.2017.2762296"
"1571804876-3566","https://doi.org/10.1109/TSC.2010.7","View Article","https://ieeexplore.ieee.org/document/7244975","10.1109/ISPS.2015.7244975","https://doi.org/10.1109/ISPS.2015.7244975"
"1571802193-2866","https://doi.org/10.1109/TSC.2011.32","View Article","https://ieeexplore.ieee.org/document/6967124","10.1109/ICCSNT.2013.6967124","https://doi.org/10.1109/ICCSNT.2013.6967124"
"1571795413-1066","https://doi.org/10.1109/TSC.2011.36","View Article","https://ieeexplore.ieee.org/document/8647761","10.1109/GLOCOM.2018.8647761","https://doi.org/10.1109/GLOCOM.2018.8647761"
"1571859275-11840","https://doi.org/10.1109/TSC.2010.13","View Article","https://ieeexplore.ieee.org/document/6249407","10.1109/ISCC.2012.6249407","https://doi.org/10.1109/ISCC.2012.6249407"
"1571854119-11016","https://doi.org/10.1109/TSC.2012.2","View Article","https://ieeexplore.ieee.org/document/6973720","10.1109/CLOUD.2014.14","https://doi.org/10.1109/CLOUD.2014.14"
